nombre,cuil,telefono,localidad,origen,fecha_carga,puntaje,prioridad,motivo
Camila Silva,27-43282388-7,1168442737,Moreno,evento,2026-04-22,43,descartado,ambiguo +18; cuil válido +15; fuera de zona +0 → descarte; frescura fria +0; evento +10
Bautista Torres,23-22759550-7,1136154764,Merlo,evento,2026-04-11,43,descartado,ambiguo +18; cuil válido +15; fuera de zona +0 → descarte; frescura fria +0; evento +10
Agustina Martínez,23-29534527-6,sin dato,Moreno,base propia,2026-07-18,40,descartado,sin teléfono +0 → descarte; cuil válido +15; fuera de zona +0 → descarte; frescura alta +25; base propia +0
Federico Flores,23-40985220-3,sin dato,Moreno,formulario web,2026-07-11,40,descartado,sin teléfono +0 → descarte; cuil válido +15; fuera de zona +0 → descarte; frescura media +15; formulario web +10
Benjamín Silva,24-34135692-6,sin dato,Ituzaingó,base propia,2026-06-12,40,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura baja +5; base propia +0
Lautaro Flores,23-39684473-7,sin dato,Morón,base propia,2026-05-28,40,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura baja +5; base propia +0
Federico Ruiz,24-28831372-1,011-48082166,Moreno,evento,2026-05-22,40,descartado,fijo +10; cuil válido +15; fuera de zona +0 → descarte; frescura baja +5; evento +10
Benjamín Romero,24-28202263-6,116389,Morón,base propia,2026-05-21,40,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura baja +5; base propia +0
Mateo Silva,20-42002226-4,sin dato,Morón,base propia,2026-05-19,40,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura baja +5; base propia +0
Camila Flores,20-33721767-3,sin dato,Ituzaingó,base propia,2026-05-14,40,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura baja +5; base propia +0
Mía Álvarez,27-44623991-6,111717,Villa Luzuriaga,campaña Meta,2026-04-28,40,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura fria +0; campaña Meta +5
Delfina Ortiz,20-37800978-3,sin dato,Villa Luzuriaga,campaña Meta,2026-04-17,40,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura fria +0; campaña Meta +5
Abril Pérez,24-35465446-2,117655,Castelar,campaña Meta,2026-04-11,40,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura fria +0; campaña Meta +5
Agustina Flores,24-21354319-5,sin dato,Haedo,campaña Meta,2026-04-11,40,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura fria +0; campaña Meta +5
Abril Pérez,24-35465446-2,117655,Castelar,campaña Meta,2026-04-11,40,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura fria +0; campaña Meta +5; duplicado +0 → descarte
Mateo Rojas,27-31927396-9,1150777399,Castelar,evento,2026-04-25,38,descartado,ambiguo +18; cuil inválido -10; en zona +20; frescura fria +0; evento +10
Benjamín Castro,20-24052434-2,118303,Merlo,campaña Meta,2026-06-22,35,descartado,sin teléfono +0 → descarte; cuil válido +15; fuera de zona +0 → descarte; frescura media +15; campaña Meta +5
Abril Ruiz,20-20889755-2,sin dato,Moreno,campaña Meta,2026-06-16,35,descartado,sin teléfono +0 → descarte; cuil válido +15; fuera de zona +0 → descarte; frescura media +15; campaña Meta +5
Thiago Ortiz,23-28032517-1,011-49935417,Moreno,campaña Meta,2026-05-26,35,descartado,fijo +10; cuil válido +15; fuera de zona +0 → descarte; frescura baja +5; campaña Meta +5
Ignacio Rodríguez,24-34034578-5,011-48572860,Moreno,campaña Meta,2026-05-10,35,descartado,fijo +10; cuil válido +15; fuera de zona +0 → descarte; frescura baja +5; campaña Meta +5
Renata Álvarez,20-44464753-2,117430,Hurlingham,base propia,2026-04-18,35,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura fria +0; base propia +0
Martina Aguirre,23-35069760-8,117098,Hurlingham,base propia,2026-04-13,35,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura fria +0; base propia +0
Nicolás González,24-40209136-9,+549 11 5515-7164,Merlo,referido,2026-04-13,35,descartado,celular +30; cuil inválido -10; fuera de zona +0 → descarte; frescura fria +0; referido +15
Delfina Acosta,20-20474139-6,sin dato,Moreno,evento,2026-05-25,30,descartado,sin teléfono +0 → descarte; cuil válido +15; fuera de zona +0 → descarte; frescura baja +5; evento +10
Tomás Martínez,23-31675094-9,011-42493694,Haedo,campaña Meta,2026-05-12,30,descartado,fijo +10; cuil inválido -10; en zona +20; frescura baja +5; campaña Meta +5
Renata Díaz,20-32588238-8,118830,Moreno,referido,2026-04-24,30,descartado,sin teléfono +0 → descarte; cuil válido +15; fuera de zona +0 → descarte; frescura fria +0; referido +15
Victoria Gómez,20-28874956-7,112916,Moreno,campaña Meta,2026-05-25,25,descartado,sin teléfono +0 → descarte; cuil válido +15; fuera de zona +0 → descarte; frescura baja +5; campaña Meta +5
Thiago Núñez,20-42429725-9,011-44498735,Villa Luzuriaga,base propia,2026-05-25,25,descartado,fijo +10; cuil inválido -10; en zona +20; frescura baja +5; base propia +0
Julieta Martínez,27-23474128-9,sin dato,San Justo,referido,2026-04-16,25,descartado,sin teléfono +0 → descarte; cuil inválido -10; en zona +20; frescura fria +0; referido +15
Santiago Martínez,24-20701907-7,sin dato,Merlo,base propia,2026-06-11,20,descartado,sin teléfono +0 → descarte; cuil válido +15; fuera de zona +0 → descarte; frescura baja +5; base propia +0
Agustina Núñez,23-21399641-9,011-47786124,Moreno,evento,2026-05-22,15,descartado,fijo +10; cuil inválido -10; fuera de zona +0 → descarte; frescura baja +5; evento +10
Lucía Gómez,20-41069908-8,sin dato,Merlo,base propia,2026-04-22,15,descartado,sin teléfono +0 → descarte; cuil válido +15; fuera de zona +0 → descarte; frescura fria +0; base propia +0
Camila Medina,23-34556229-9,112683,Ituzaingó,campaña Meta,2026-04-18,15,descartado,sin teléfono +0 → descarte; cuil inválido -10; en zona +20; frescura fria +0; campaña Meta +5
Renata Molina,23-33021869-9,115920,Haedo,campaña Meta,2026-04-10,15,descartado,sin teléfono +0 → descarte; cuil inválido -10; en zona +20; frescura fria +0; campaña Meta +5
Renata Molina,23-33021869-9,115920,Haedo,campaña Meta,2026-04-10,15,descartado,sin teléfono +0 → descarte; cuil inválido -10; en zona +20; frescura fria +0; campaña Meta +5; duplicado +0 → descarte
Isabella Juárez,20-28585310-9,011-47222855,Merlo,formulario web,2026-04-11,10,descartado,fijo +10; cuil inválido -10; fuera de zona +0 → descarte; frescura fria +0; formulario web +10
Federico Molina,27-25990194-9,011-42422346,Moreno,base propia,2026-04-22,0,descartado,fijo +10; cuil inválido -10; fuera de zona +0 → descarte; frescura fria +0; base propia +0
